Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
13,CA-2024-100012,2024-10-18,2024-10-21,Second Class,ZD-21925,Zuschlich Donavan,Corporate,United States,Charlotte,North Carolina,28201,South,Tec-Mac-10006312,Technology,Machines,Apple MacBook Pro 16 M3,2017.34,1,0.2,-84.5
14,CA-2026-100013,2026-01-05,2026-01-12,Standard Class,CG-12520,Claire Gute,Consumer,United States,Dallas,Texas,75201,Central,Off-Art-10002767,Office Supplies,Art,Fiskars Precision Scissors 8-Inch,33.42,4,0.0,-1.39
15,CA-2024-100014,2024-07-20,2024-07-23,First Class,LC-16885,Linda Cazaress,Home Office,United States,Nashville,Tennessee,37201,South,Off-Pap-10001550,Office Supplies,Paper,Eco-Friendly Recycled Printer Paper,8.81,1,0.0,1.66
16,CA-2025-100015,2025-05-06,2025-05-09,Second Class,LF-17185,Liz Flachtemeier,Consumer,United States,Dallas,Texas,75201,Central,Fur-Tab-10004618,Furniture,Tables,Industrial Writing Desk,997.98,7,0.0,65.08
17,CA-2026-100016,2026-01-17,2026-01-20,First Class,EP-13915,Emily Phan,Consumer,United States,Austin,Texas,78701,Central,Off-Art-10004652,Office Supplies,Art,Professional Sketchbook 2-Pack,33.02,2,0.0,-3.64
18,CA-2025-100017,2025-09-23,2025-09-25,First Class,KB-16585,Ken Black,Corporate,United States,Chicago,Illinois,60601,Central,Tec-Pho-10005349,Technology,Phones,Apple iPhone 15 Pro,1295.8,2,0.2,199.11
19,CA-2025-100018,2025-10-07,2025-10-10,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Charlotte,North Carolina,28201,South,Fur-Boo-10009580,Furniture,Bookcases,Corner Ladder Shelf,133.3,2,0.1,2.36
20,CA-2024-100019,2024-11-12,2024-11-17,Standard Class,KB-16585,Ken Black,Corporate,United States,Austin,Texas,78701,Central,Off-App-10007866,Office Supplies,Appliances,Mini Fridge with Freezer 3.2 Cu Ft,1331.26,7,0.1,518.75
21,CA-2026-100020,2026-02-09,2026-02-11,Second Class,ZD-21925,Zuschlich Donavan,Corporate,United States,Dallas,Texas,75201,Central,Fur-Cha-10009054,Furniture,Chairs,Secretlab TITAN Evo Gaming Chair,439.0,1,0.0,-32.11
22,CA-2024-100021,2024-07-27,2024-07-30,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Jacksonville,Florida,32201,South,Fur-Tab-10008930,Furniture,Tables,Solid Oak Dining Table,1735.61,2,0.1,76.88
23,CA-2024-100022,2024-06-10,2024-06-12,First Class,GH-14485,Gene Hale,Corporate,United States,Columbus,Ohio,43201,Central,Tec-Cop-10006385,Technology,Copiers,Canon imageCLASS Wireless Printer,458.11,2,0.3,-70.47
24,CA-2026-100023,2026-01-13,2026-01-14,Same Day,BH-11710,Brosina Hoffman,Consumer,United States,Miami,Florida,33101,South,Tec-Mac-10005961,Technology,Machines,Lenovo ThinkPad X1 Carbon,6639.87,5,0.0,377.24
25,CA-2026-100024,2026-01-13,2026-01-16,First Class,GH-14485,Gene Hale,Corporate,United States,Los Angeles,California,90001,West,Tec-Pho-10005638,Technology,Phones,Apple iPhone 15 Pro,1468.69,2,0.0,84.94
26,CA-2026-100025,2026-06-12,2026-06-13,Same Day,BH-11710,Brosina Hoffman,Consumer,United States,Houston,Texas,77001,Central,Fur-Fur-10004174,Furniture,Furnishings,Acoustic Desk Divider Partition,78.17,1,0.2,-6.01
27,CA-2025-100026,2025-10-14,2025-10-17,First Class,EP-13915,Emily Phan,Consumer,United States,Austin,Texas,78701,Central,Tec-Mac-10005196,Technology,Machines,ASUS ROG Zephyrus G14,7342.24,5,0.0,2356.36
28,CA-2026-100027,2026-02-18,2026-02-21,Second Class,IM-15055,Irene Maddox,Consumer,United States,San Francisco,California,94101,West,Fur-Tab-10004677,Furniture,Tables,Industrial Writing Desk,654.86,7,0.2,-362.45
29,CA-2026-100028,2026-04-12,2026-04-15,Second Class,LC-16885,Linda Cazaress,Home Office,United States,Nashville,Tennessee,37201,South,Off-Art-10007424,Office Supplies,Art,Dual Tip Brush Marker Pens 72-Color Set,72.38,2,0.1,9.04
30,CA-2025-100029,2025-12-15,2025-12-17,First Class,RP-19390,Roy Phan,Corporate,United States,Chicago,Illinois,60601,Central,Tec-Cop-10009477,Technology,Copiers,Canon imageCLASS Wireless Printer,948.31,3,0.2,340.77
31,CA-2026-100030,2026-03-22,2026-03-24,First Class,PK-19075,Pete Kriz,Corporate,United States,Seattle,Washington,98101,West,Tec-Pho-10003765,Technology,Phones,OnePlus 12,1422.43,2,0.1,271.01
32,CA-2024-100031,2024-10-21,2024-10-25,Standard Class,EP-13915,Emily Phan,Consumer,United States,Nashville,Tennessee,37201,South,Off-Art-10004434,Office Supplies,Art,Professional Sketchbook 2-Pack,56.67,3,0.0,14.09
33,CA-2026-100032,2026-03-03,2026-03-05,Second Class,LC-16885,Linda Cazaress,Home Office,United States,Denver,Colorado,80201,West,Fur-Cha-10009976,Furniture,Chairs,Steelcase Gesture Office Chair,1246.66,1,0.1,-135.69
34,CA-2024-100033,2024-12-18,2024-12-20,Second Class,RP-19390,Roy Phan,Corporate,United States,San Jose,California,95101,West,Off-Bin-10003817,Office Supplies,Binders,Clear Sheet Protectors 200-Pack,22.29,1,0.0,9.06
35,CA-2024-100034,2024-09-12,2024-09-15,First Class,RP-19390,Roy Phan,Corporate,United States,New York City,New York,10001,East,Off-Pap-10001042,Office Supplies,Paper,Eco-Friendly Recycled Printer Paper,9.32,1,0.0,1.75
36,CA-2026-100035,2026-06-04,2026-06-09,Standard Class,PK-19075,Pete Kriz,Corporate,United States,Phoenix,Arizona,85001,West,Fur-Cha-10002453,Furniture,Chairs,Secretlab TITAN Evo Gaming Chair,1156.09,2,0.0,126.58
37,CA-2024-100036,2024-08-07,2024-08-14,Standard Class,RB-19705,Raymond Buch,Consumer,United States,Miami,Florida,33101,South,Tec-Cop-10002393,Technology,Copiers,HP LaserJet Pro Multifunction,856.25,2,0.0,239.64
38,CA-2025-100037,2025-05-22,2025-05-23,Same Day,IM-15055,Irene Maddox,Consumer,United States,Boston,Massachusetts,02101,East,Fur-Fur-10005454,Furniture,Furnishings,Acoustic Desk Divider Partition,81.07,1,0.0,11.14
39,CA-2025-100038,2025-02-14,2025-02-19,Standard Class,ZD-21925,Zuschlich Donavan,Corporate,United States,New York City,New York,10001,East,Fur-Tab-10008855,Furniture,Tables,Minimalist Glass Coffee Table,688.67,4,0.0,-142.27
40,CA-2024-100039,2024-08-01,2024-08-03,First Class,AG-10270,Alejandro Grove,Consumer,United States,Phoenix,Arizona,85001,West,Tec-Mac-10006379,Technology,Machines,Apple MacBook Pro 16 M3,12006.46,5,0.0,3477.34
41,CA-2024-100040,2024-02-14,2024-02-16,Second Class,GH-14485,Gene Hale,Corporate,United States,Chicago,Illinois,60601,Central,Tec-Mac-10007152,Technology,Machines,Dell XPS 15 Laptop,1486.4,1,0.0,188.99
42,CA-2026-100041,2026-02-05,2026-02-10,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Austin,Texas,78701,Central,Tec-Cop-10006127,Technology,Copiers,HP LaserJet Pro Multifunction,731.76,2,0.0,21.86
43,CA-2024-100042,2024-06-02,2024-06-05,Second Class,CG-12520,Claire Gute,Consumer,United States,Phoenix,Arizona,85001,West,Fur-Tab-10007174,Furniture,Tables,Minimalist Glass Coffee Table,501.0,3,0.1,-16.82
44,CA-2024-100043,2024-12-15,2024-12-18,Second Class,LF-17185,Liz Flachtemeier,Consumer,United States,Austin,Texas,78701,Central,Tec-Mac-10002818,Technology,Machines,Apple MacBook Pro 16 M3,7036.73,2,0.0,3108.45
45,CA-2024-100044,2024-11-01,2024-11-03,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,San Diego,California,92101,West,Tec-Cop-10005352,Technology,Copiers,Canon imageCLASS Wireless Printer,790.86,2,0.1,316.3
46,CA-2025-100045,2025-03-24,2025-03-26,First Class,BH-11710,Brosina Hoffman,Consumer,United States,San Jose,California,95101,West,Fur-Fur-10004215,Furniture,Furnishings,Ergonomic Memory Foam Seat Cushion,24.35,1,0.1,0.64
47,CA-2025-100046,2025-09-25,2025-09-27,Second Class,SN-20785,Steve Nguyen,Home Office,United States,Seattle,Washington,98101,West,Fur-Fur-10005152,Furniture,Furnishings,Ergonomic Memory Foam Seat Cushion,15.13,1,0.3,-7.45
48,CA-2026-100047,2026-05-24,2026-05-27,First Class,HR-14830,Harold Ryan,Corporate,United States,Chicago,Illinois,60601,Central,Tec-Mac-10007954,Technology,Machines,Lenovo ThinkPad X1 Carbon,12134.01,7,0.0,4024.93
49,CA-2024-100048,2024-08-03,2024-08-05,First Class,IM-15055,Irene Maddox,Consumer,United States,Indianapolis,Indiana,46201,Central,Tec-Mac-10005668,Technology,Machines,Apple MacBook Pro 16 M3,4211.68,2,0.1,722.02
50,CA-2025-100049,2025-07-23,2025-07-28,Standard Class,KB-16585,Ken Black,Corporate,United States,Los Angeles,California,90001,West,Tec-Cop-10007832,Technology,Copiers,HP LaserJet Pro Multifunction,354.17,1,0.0,116.85
51,CA-2025-100050,2025-02-10,2025-02-15,Standard Class,LC-16885,Linda Cazaress,Home Office,United States,Phoenix,Arizona,85001,West,Tec-Cop-10007011,Technology,Copiers,Canon imageCLASS Wireless Printer,437.0,2,0.0,49.38
52,CA-2026-100051,2026-05-21,2026-05-23,Same Day,RP-19390,Roy Phan,Corporate,United States,Boston,Massachusetts,02101,East,Tec-Cop-10001500,Technology,Copiers,Canon imageCLASS Wireless Printer,552.26,2,0.1,48.93
53,CA-2025-100052,2025-06-04,2025-06-07,First Class,IM-15055,Irene Maddox,Consumer,United States,Seattle,Washington,98101,West,Fur-Tab-10004464,Furniture,Tables,Minimalist Glass Coffee Table,349.14,2,0.2,-83.9
54,CA-2025-100053,2025-06-02,2025-06-06,Standard Class,AG-10270,Alejandro Grove,Consumer,United States,Nashville,Tennessee,37201,South,Off-Pap-10009248,Office Supplies,Paper,Eco-Friendly Recycled Printer Paper,9.79,1,0.0,1.48
55,CA-2026-100054,2026-03-02,2026-03-04,Second Class,GH-14485,Gene Hale,Corporate,United States,Charlotte,North Carolina,28201,South,Tec-Acc-10005497,Technology,Accessories,Apple AirPods Pro (2nd Gen),1174.81,5,0.0,218.22
56,CA-2024-100055,2024-04-30,2024-05-04,Standard Class,RB-19705,Raymond Buch,Consumer,United States,Austin,Texas,78701,Central,Tec-Cop-10007968,Technology,Copiers,Brother Monochrome Laser Printer,189.52,1,0.0,37.42
57,CA-2025-100056,2025-04-14,2025-04-15,Same Day,RP-19390,Roy Phan,Corporate,United States,Jacksonville,Florida,32201,South,Off-App-10006907,Office Supplies,Appliances,Dyson Pure Cool Air Purifier Fan,2611.55,6,0.0,633.0
58,CA-2025-100057,2025-07-07,2025-07-10,First Class,AG-10270,Alejandro Grove,Consumer,United States,New York City,New York,10001,East,Tec-Cop-10005069,Technology,Copiers,Canon imageCLASS Wireless Printer,431.67,2,0.0,133.94
59,CA-2024-100058,2024-07-05,2024-07-12,Standard Class,AA-10315,Andrew Allen,Consumer,United States,Denver,Colorado,80201,West,Tec-Cop-10001507,Technology,Copiers,HP LaserJet Pro Multifunction,969.76,2,0.0,279.01
60,CA-2025-100059,2025-02-23,2025-02-26,Same Day,RP-19390,Roy Phan,Corporate,United States,Charlotte,North Carolina,28201,South,Fur-Boo-10009904,Furniture,Bookcases,5-Shelf Wood Bookcase,65.57,1,0.3,-52.65
61,CA-2026-100060,2026-04-23,2026-04-25,Second Class,IM-15055,Irene Maddox,Consumer,United States,Seattle,Washington,98101,West,Fur-Tab-10002815,Furniture,Tables,Standing Desk Wood Top 60x30,1500.2,3,0.0,218.29
62,CA-2024-100061,2024-05-14,2024-05-18,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,United States,San Diego,California,92101,West,Off-Art-10004791,Office Supplies,Art,Acrylic Paint Set 24 Colors,100.89,4,0.0,16.25
63,CA-2025-100062,2025-11-07,2025-11-08,Same Day,DN-13690,Duane Noonan,Consumer,United States,Phoenix,Arizona,85001,West,Off-Pap-10006603,Office Supplies,Paper,Heavyweight Cardstock Paper 100 Sheets,36.78,2,0.0,14.76
64,CA-2025-100063,2025-10-27,2025-10-29,Second Class,HR-14830,Harold Ryan,Corporate,United States,Chicago,Illinois,60601,Central,Fur-Fur-10007015,Furniture,Furnishings,Acoustic Desk Divider Partition,174.84,2,0.0,-0.49
65,CA-2024-100064,2024-10-31,2024-11-01,Same Day,RB-19705,Raymond Buch,Consumer,United States,Indianapolis,Indiana,46201,Central,Tec-Pho-10008589,Technology,Phones,Google Pixel 8 Pro,866.39,1,0.1,179.1
66,CA-2026-100065,2026-05-08,2026-05-11,Same Day,HR-14830,Harold Ryan,Corporate,United States,Indianapolis,Indiana,46201,Central,Off-Art-10001971,Office Supplies,Art,Acrylic Paint Set 24 Colors,76.14,3,0.0,13.66
67,CA-2025-100066,2025-06-26,2025-06-30,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Houston,Texas,77001,Central,Fur-Fur-10009329,Furniture,Furnishings,Acoustic Desk Divider Partition,441.87,5,0.0,60.52
68,CA-2025-100067,2025-12-02,2025-12-04,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Columbus,Ohio,43201,Central,Fur-Fur-10006311,Furniture,Furnishings,Ergonomic Memory Foam Seat Cushion,346.36,8,0.0,94.43
69,CA-2025-100068,2025-03-15,2025-03-18,Second Class,EP-13915,Emily Phan,Consumer,United States,New York City,New York,10001,East,Off-Bin-10005564,Office Supplies,Binders,Clear Sheet Protectors 200-Pack,25.65,2,0.2,1.25
70,CA-2026-100069,2026-05-31,2026-06-03,Second Class,AA-10315,Andrew Allen,Consumer,United States,Dallas,Texas,75201,Central,Off-Pap-10009413,Office Supplies,Paper,Premium Multipurpose Copy Paper Case,168.57,3,0.0,37.43
71,CA-2024-100070,2024-05-24,2024-05-29,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,United States,San Antonio,Texas,78201,Central,Fur-Cha-10002455,Furniture,Chairs,Herman Miller Aeron Chair,2649.29,2,0.1,-400.01
72,CA-2026-100071,2026-03-25,2026-03-30,Standard Class,KB-16585,Ken Black,Corporate,United States,Denver,Colorado,80201,West,Fur-Cha-10003283,Furniture,Chairs,Herman Miller Aeron Chair,5464.64,4,0.0,686.98
73,CA-2024-100072,2024-11-12,2024-11-15,Second Class,KB-16585,Ken Black,Corporate,United States,San Jose,California,95101,West,Off-Art-10004358,Office Supplies,Art,Professional Sketchbook 2-Pack,39.5,2,0.3,7.46
74,CA-2025-100073,2025-11-09,2025-11-13,Standard Class,EP-13915,Emily Phan,Consumer,United States,Jacksonville,Florida,32201,South,Fur-Fur-10001729,Furniture,Furnishings,Acoustic Desk Divider Partition,127.64,1,0.0,32.03
75,CA-2024-100074,2024-08-09,2024-08-12,Same Day,TB-21400,Tom Boeckenhauer,Consumer,United States,Denver,Colorado,80201,West,Tec-Mac-10002565,Technology,Machines,Lenovo ThinkPad X1 Carbon,1845.4,1,0.0,417.82
76,CA-2024-100075,2024-04-27,2024-04-30,Second Class,DN-13690,Duane Noonan,Consumer,United States,Houston,Texas,77001,Central,Off-Art-10008705,Office Supplies,Art,Professional Sketchbook 2-Pack,23.55,2,0.4,-6.25
77,CA-2025-100076,2025-10-23,2025-10-28,Standard Class,EP-13915,Emily Phan,Consumer,United States,Phoenix,Arizona,85001,West,Off-Art-10009391,Office Supplies,Art,Fiskars Precision Scissors 8-Inch,21.81,2,0.0,2.91
78,CA-2026-100077,2026-05-02,2026-05-06,Standard Class,SF-20065,Sandra Flanagan,Consumer,United States,Houston,Texas,77001,Central,Off-App-10006109,Office Supplies,Appliances,Mini Fridge with Freezer 3.2 Cu Ft,172.6,1,0.0,28.68
79,CA-2025-100078,2025-11-29,2025-12-06,Standard Class,SN-20785,Steve Nguyen,Home Office,United States,Indianapolis,Indiana,46201,Central,Tec-Acc-10008253,Technology,Accessories,Anker 511 USB-C Charger,59.14,2,0.1,27.82
80,CA-2024-100079,2024-07-10,2024-07-11,Same Day,AG-10270,Alejandro Grove,Consumer,United States,Jacksonville,Florida,32201,South,Tec-Mac-10004712,Technology,Machines,Dell XPS 15 Laptop,2417.49,2,0.3,-332.77
81,CA-2025-100080,2025-04-05,2025-04-06,Same Day,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,98101,West,Tec-Acc-10002064,Technology,Accessories,Apple AirPods Pro (2nd Gen),469.02,2,0.0,130.04
82,CA-2025-100081,2025-10-07,2025-10-10,First Class,EP-13915,Emily Phan,Consumer,United States,Phoenix,Arizona,85001,West,Off-Art-10001988,Office Supplies,Art,Fiskars Precision Scissors 8-Inch,20.99,2,0.0,3.35
83,CA-2025-100082,2025-08-09,2025-08-12,First Class,IM-15055,Irene Maddox,Consumer,United States,Phoenix,Arizona,85001,West,Fur-Fur-10002449,Furniture,Furnishings,Anti-Fatigue Comfort Floor Mat,100.51,3,0.0,5.86
84,CA-2025-100083,2025-12-07,2025-12-09,Second Class,AG-10270,Alejandro Grove,Consumer,United States,Los Angeles,California,90001,West,Fur-Boo-10003152,Furniture,Bookcases,5-Shelf Wood Bookcase,345.34,2,0.0,112.14
85,CA-2026-100084,2026-02-06,2026-02-09,First Class,BH-11710,Brosina Hoffman,Consumer,United States,Columbus,Ohio,43201,Central,Off-Art-10005462,Office Supplies,Art,Professional Sketchbook 2-Pack,78.66,6,0.1,-12.98
86,CA-2024-100085,2024-02-01,2024-02-04,Same Day,TB-21520,Tracy Blumstein,Consumer,United States,Chicago,Illinois,60601,Central,Off-App-10007608,Office Supplies,Appliances,Compact Countertop Microwave 0.7 Cu Ft,152.28,2,0.0,-6.33
87,CA-2025-100086,2025-03-24,2025-03-27,Second Class,LF-17185,Liz Flachtemeier,Consumer,United States,Denver,Colorado,80201,West,Tec-Cop-10005503,Technology,Copiers,Canon imageCLASS Wireless Printer,652.22,2,0.0,148.55
88,CA-2026-100087,2026-03-10,2026-03-13,Second Class,RB-19705,Raymond Buch,Consumer,United States,San Jose,California,95101,West,Fur-Boo-10009994,Furniture,Bookcases,Corner Ladder Shelf,346.34,8,0.4,-172.44
89,CA-2025-100088,2025-05-30,2025-06-02,Second Class,RB-19705,Raymond Buch,Consumer,United States,Los Angeles,California,90001,West,Tec-Acc-10008267,Technology,Accessories,Anker 511 USB-C Charger,82.78,4,0.0,27.27
90,CA-2025-100089,2025-04-02,2025-04-04,Second Class,LF-17185,Liz Flachtemeier,Consumer,United States,Chicago,Illinois,60601,Central,Off-Pap-10002271,Office Supplies,Paper,Premium Multipurpose Copy Paper Case,210.82,5,0.2,11.12
91,CA-2024-100090,2024-02-05,2024-02-10,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Nashville,Tennessee,37201,South,Off-Bin-10009112,Office Supplies,Binders,Heavy Duty 3-Ring Binder 3-Pack,87.02,5,0.0,-0.54
92,CA-2025-100091,2025-10-22,2025-10-24,Same Day,LF-17185,Liz Flachtemeier,Consumer,United States,Nashville,Tennessee,37201,South,Off-App-10006165,Office Supplies,Appliances,Compact Countertop Microwave 0.7 Cu Ft,378.05,4,0.0,75.07
93,CA-2024-100092,2024-05-03,2024-05-06,Second Class,AA-10315,Andrew Allen,Consumer,United States,San Antonio,Texas,78201,Central,Off-Art-10005955,Office Supplies,Art,Professional Sketchbook 2-Pack,17.8,1,0.0,4.21
94,CA-2025-100093,2025-07-19,2025-07-23,Standard Class,RP-19390,Roy Phan,Corporate,United States,Austin,Texas,78701,Central,Fur-Tab-10006934,Furniture,Tables,Industrial Writing Desk,115.53,1,0.0,2.03
95,CA-2024-100094,2024-03-17,2024-03-19,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Seattle,Washington,98101,West,Tec-Cop-10007916,Technology,Copiers,Canon imageCLASS Wireless Printer,774.98,3,0.2,115.32
96,CA-2026-100095,2026-06-11,2026-06-18,Standard Class,LF-17185,Liz Flachtemeier,Consumer,United States,Dallas,Texas,75201,Central,Tec-Acc-10007963,Technology,Accessories,Logitech MX Master 3S Mouse,90.96,1,0.0,31.38
97,CA-2025-100096,2025-10-23,2025-10-26,First Class,EP-13915,Emily Phan,Consumer,United States,Indianapolis,Indiana,46201,Central,Off-App-10008355,Office Supplies,Appliances,Keurig K-Mini Single Serve Coffee Maker,129.29,2,0.2,-6.46
98,CA-2025-100097,2025-02-09,2025-02-14,Standard Class,GH-14485,Gene Hale,Corporate,United States,Phoenix,Arizona,85001,West,Tec-Pho-10009860,Technology,Phones,Samsung Galaxy S24 Ultra,1796.72,2,0.0,248.9
99,CA-2025-100098,2025-10-11,2025-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Phoenix,Arizona,85001,West,Off-Art-10003755,Office Supplies,Art,Acrylic Paint Set 24 Colors,21.79,1,0.1,1.51
100,CA-2024-100099,2024-12-22,2024-12-25,First Class,AA-10315,Andrew Allen,Consumer,United States,Charlotte,North Carolina,28201,South,Off-App-10005349,Office Supplies,Appliances,Keurig K-Mini Single Serve Coffee Maker,176.05,2,0.2,46.74
101,CA-2025-100100,2025-03-17,2025-03-20,First Class,BH-11710,Brosina Hoffman,Consumer,United States,Atlanta,Georgia,30301,South,Off-App-10001988,Office Supplies,Appliances,Compact Countertop Microwave 0.7 Cu Ft,419.56,5,0.0,60.74
102,CA-2025-100101,2025-05-26,2025-05-28,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Philadelphia,Pennsylvania,19101,East,Tec-Cop-10009854,Technology,Copiers,HP LaserJet Pro Multifunction,1777.33,6,0.3,-155.35
103,CA-2025-100102,2025-03-19,2025-03-24,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Jacksonville,Florida,32201,South,Fur-Fur-10009589,Furniture,Furnishings,Ergonomic Memory Foam Seat Cushion,32.61,1,0.0,-0.82
104,CA-2025-100103,2025-08-04,2025-08-07,Second Class,AG-10270,Alejandro Grove,Consumer,United States,Boston,Massachusetts,02101,East,Off-Art-10004175,Office Supplies,Art,Dual Tip Brush Marker Pens 72-Color Set,121.56,4,0.0,23.08
105,CA-2024-100104,2024-11-28,2024-12-04,Standard Class,ZD-21925,Zuschlich Donavan,Corporate,United States,Dallas,Texas,75201,Central,Fur-Tab-10002018,Furniture,Tables,Solid Oak Dining Table,11439.88,9,0.0,3345.44
106,CA-2024-100105,2024-03-22,2024-03-24,First Class,BH-11710,Brosina Hoffman,Consumer,United States,Miami,Florida,33101,South,Tec-Acc-10008779,Technology,Accessories,Logitech MX Master 3S Mouse,467.75,5,0.0,143.5
107,CA-2026-100106,2026-01-01,2026-01-04,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Seattle,Washington,98101,West,Off-Bin-10009453,Office Supplies,Binders,Clear Sheet Protectors 200-Pack,47.23,4,0.0,-5.02
108,CA-2024-100107,2024-03-15,2024-03-16,Same Day,HR-14830,Harold Ryan,Corporate,United States,Los Angeles,California,90001,West,Fur-Tab-10007509,Furniture,Tables,Standing Desk Wood Top 60x30,3756.43,7,0.0,427.49
109,CA-2024-100108,2024-03-10,2024-03-13,First Class,AA-10315,Andrew Allen,Consumer,United States,Charlotte,North Carolina,28201,South,Fur-Fur-10001707,Furniture,Furnishings,LED Desk Lamp with USB Charger,35.35,1,0.0,-0.45
110,CA-2025-100109,2025-06-26,2025-07-01,Standard Class,RP-19390,Roy Phan,Corporate,United States,Boston,Massachusetts,02101,East,Off-Art-10007696,Office Supplies,Art,Dual Tip Brush Marker Pens 72-Color Set,33.11,1,0.1,5.13
111,CA-2024-100110,2024-11-19,2024-11-21,Second Class,HR-14830,Harold Ryan,Corporate,United States,Dallas,Texas,75201,Central,Tec-Acc-10007260,Technology,Accessories,Apple AirPods Pro (2nd Gen),1886.23,5,0.0,868.88
112,CA-2024-100111,2024-05-26,2024-05-31,Standard Class,LF-17185,Liz Flachtemeier,Consumer,United States,San Francisco,California,94101,West,Fur-Tab-10006034,Furniture,Tables,Minimalist Glass Coffee Table,402.41,2,0.0,24.02
113,CA-2026-100112,2026-02-17,2026-02-19,Second Class,HR-14830,Harold Ryan,Corporate,United States,San Antonio,Texas,78201,Central,Fur-Boo-10009225,Furniture,Bookcases,Corner Ladder Shelf,130.89,2,0.0,-25.8
114,CA-2026-100113,2026-02-12,2026-02-14,Second Class,DN-13690,Duane Noonan,Consumer,United States,San Diego,California,92101,West,Off-Art-10003629,Office Supplies,Art,Fiskars Precision Scissors 8-Inch,42.7,5,0.1,-7.39
